Date,Country,Cases,SMA,CMA,EMA
2020-01-22,Afghanistan,0,0.0,0.0,0.0
2020-01-23,Afghanistan,0,0.0,0.0,0.0
2020-01-24,Afghanistan,0,0.0,0.0,0.0
2020-01-25,Afghanistan,0,0.0,0.0,0.0
2020-01-26,Afghanistan,0,0.0,0.0,0.0
2020-01-27,Afghanistan,0,0.0,0.0,0.0
2020-01-28,Afghanistan,0,0.0,0.0,0.0
2020-01-29,Afghanistan,0,0.0,0.0,0.0
2020-01-30,Afghanistan,0,0.0,0.0,0.0
2020-01-31,Afghanistan,0,0.0,0.0,0.0
2020-02-01,Afghanistan,0,0.0,0.0,0.0
2020-02-02,Afghanistan,0,0.0,0.0,0.0
2020-02-03,Afghanistan,0,0.0,0.0,0.0
2020-02-04,Afghanistan,0,0.0,0.0,0.0
2020-02-05,Afghanistan,0,0.0,0.0,0.0
2020-02-06,Afghanistan,0,0.0,0.0,0.0
2020-02-07,Afghanistan,0,0.0,0.0,0.0
2020-02-08,Afghanistan,0,0.0,0.0,0.0
2020-02-09,Afghanistan,0,0.0,0.0,0.0
2020-02-10,Afghanistan,0,0.0,0.0,0.0
2020-02-11,Afghanistan,0,0.0,0.0,0.0
2020-02-12,Afghanistan,0,0.0,0.0,0.0
2020-02-13,Afghanistan,0,0.0,0.0,0.0
2020-02-14,Afghanistan,0,0.0,0.0,0.0
2020-02-15,Afghanistan,0,0.0,0.0,0.0
2020-02-16,Afghanistan,0,0.0,0.0,0.0
2020-02-17,Afghanistan,0,0.0,0.0,0.0
2020-02-18,Afghanistan,0,0.0,0.0,0.0
2020-02-19,Afghanistan,0,0.0,0.0,0.0
2020-02-20,Afghanistan,0,0.0,0.0,0.0
2020-02-21,Afghanistan,0,0.0,0.0,0.0
2020-02-22,Afghanistan,0,0.0,0.0,0.0
2020-02-23,Afghanistan,0,0.0,0.0,0.0
2020-02-24,Afghanistan,1,0.14285714285714285,0.029411764705882353,0.3
2020-02-25,Afghanistan,0,0.14285714285714285,0.02857142857142857,0.21
2020-02-26,Afghanistan,0,0.14285714285714285,0.027777777777777776,0.147
2020-02-27,Afghanistan,0,0.14285714285714285,0.02702702702702703,0.10289999999999999
2020-02-28,Afghanistan,0,0.14285714285714285,0.02631578947368421,0.07202999999999998
2020-02-29,Afghanistan,0,0.14285714285714285,0.02564102564102564,0.05042099999999999
2020-03-01,Afghanistan,0,0.14285714285714285,0.025,0.03529469999999999
2020-03-02,Afghanistan,0,0.0,0.024390243902439025,0.024706289999999992
2020-03-03,Afghanistan,0,0.0,0.023809523809523808,0.017294402999999993
2020-03-04,Afghanistan,0,0.0,0.023255813953488372,0.012106082099999995
2020-03-05,Afghanistan,0,0.0,0.022727272727272728,0.008474257469999996
2020-03-06,Afghanistan,0,0.0,0.022222222222222223,0.005931980228999997
2020-03-07,Afghanistan,0,0.0,0.021739130434782608,0.004152386160299997
2020-03-08,Afghanistan,3,0.42857142857142855,0.0851063829787234,0.90290667031221
2020-03-09,Afghanistan,0,0.42857142857142855,0.08333333333333333,0.6320346692185469
2020-03-10,Afghanistan,1,0.5714285714285714,0.10204081632653061,0.7424242684529827
2020-03-11,Afghanistan,2,0.8571428571428571,0.14,1.119696987917088
2020-03-12,Afghanistan,0,0.8571428571428571,0.13725490196078433,0.7837878915419615
2020-03-13,Afghanistan,0,0.8571428571428571,0.1346153846153846,0.548651524079373
2020-03-14,Afghanistan,4,1.4285714285714286,0.20754716981132076,1.584056066855561
2020-03-15,Afghanistan,5,1.7142857142857142,0.2962962962962963,2.6088392467988926
2020-03-16,Afghanistan,5,2.4285714285714284,0.38181818181818183,3.3261874727592247
2020-03-17,Afghanistan,1,2.4285714285714284,0.39285714285714285,2.628331230931457
2020-03-18,Afghanistan,0,2.142857142857143,0.38596491228070173,1.8398318616520197
2020-03-19,Afghanistan,0,2.142857142857143,0.3793103448275862,1.2878823031564137
2020-03-20,Afghanistan,2,2.4285714285714284,0.4067796610169492,1.5015176122094895
2020-03-21,Afghanistan,0,1.8571428571428572,0.4,1.0510623285466425
2020-03-22,Afghanistan,16,3.4285714285714284,0.6557377049180327,5.535743629982649
2020-03-23,Afghanistan,0,2.7142857142857144,0.6451612903225806,3.875020540987854
2020-03-24,Afghanistan,34,7.428571428571429,1.1746031746031746,12.912514378691498
2020-03-25,Afghanistan,10,8.857142857142858,1.3125,12.038760065084048
2020-03-26,Afghanistan,10,10.285714285714286,1.4461538461538461,11.427132045558833
2020-03-27,Afghanistan,16,12.285714285714286,1.6666666666666667,12.798992431891183
2020-03-28,Afghanistan,0,12.285714285714286,1.6417910447761195,8.959294702323827
